timestamp,username,role
02:23:47 05/06/2021,cuongnguyen,lecturer
02:24:18 05/06/2021,cuongnguyen,lecturer
02:24:40 05/06/2021,admin,admin
02:27:48 05/06/2021,admin,admin
02:27:58 05/06/2021,admin,admin
02:33:06 05/06/2021,admin,admin
02:35:58 05/06/2021,admin,admin
02:53:54 05/06/2021,admin,admin
02:55:36 05/06/2021,admin,admin
02:55:58 05/06/2021,admin,admin
03:01:31 05/06/2021,admin,admin
03:02:10 05/06/2021,admin,admin
03:02:25 05/06/2021,admin,admin
03:03:20 05/06/2021,admin,admin
03:03:49 05/06/2021,admin,admin
03:07:06 05/06/2021,admin,admin
03:24:02 05/06/2021,admin,admin
03:25:14 05/06/2021,admin,admin
03:27:14 05/06/2021,admin,admin
03:27:45 05/06/2021,admin,admin
03:28:13 05/06/2021,admin,admin
03:38:14 05/06/2021,admin,admin
03:39:36 05/06/2021,admin,admin
03:40:14 05/06/2021,admin,admin
03:43:35 05/06/2021,admin,admin
03:44:37 05/06/2021,cuongnguyen,lecturer
03:45:53 05/06/2021,cuongnguyen,lecturer
03:47:31 05/06/2021,cuongnguyen,lecturer
03:48:35 05/06/2021,admin,admin
03:48:43 05/06/2021,admin,admin
03:51:55 05/06/2021,admin,admin
03:52:17 05/06/2021,cuongnguyen,lecturer
03:52:54 05/06/2021,admin,admin
03:53:11 05/06/2021,cuongnguyen,lecturer
03:53:18 05/06/2021,cuongnguyen,lecturer
03:57:57 05/06/2021,cuongnguyen,lecturer
04:05:25 05/06/2021,cuongnguyen,lecturer
04:05:37 05/06/2021,admin,admin
04:14:36 05/06/2021,admin,admin
04:15:17 05/06/2021,admin,admin
04:16:25 05/06/2021,admin,admin
04:17:07 05/06/2021,admin,admin
04:20:20 05/06/2021,admin,admin
04:23:57 05/06/2021,admin,admin
04:24:22 05/06/2021,admin,admin
04:24:55 05/06/2021,admin,admin
04:25:16 05/06/2021,admin,admin
04:25:41 05/06/2021,admin,admin
04:27:25 05/06/2021,admin,admin
04:52:00 05/06/2021,admin,admin
04:52:23 05/06/2021,cuongnguyen,lecturer
04:59:26 05/06/2021,cuongnguyen,lecturer
04:59:53 05/06/2021,admin,admin
05:01:34 05/06/2021,admin,admin
05:02:04 05/06/2021,admin,admin
05:03:14 05/06/2021,admin,admin
